,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Percentage,EU_Percentage,JP_Percentage,Other_Percentage,NA_average,EU_average,JP_average,Other_average
3456,3458,WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.31,0.22,0.0,0.05,0.58,53.45,37.93,0.0,8.62,45.39,22.9,24.42,6.48
3457,3459,Titanfall,PC,2014,Shooter,Electronic Arts,0.21,0.3,0.0,0.07,0.58,36.21,51.72,0.0,12.07,45.39,22.9,24.42,6.48
3458,3460,NCAA Football 09,PS3,2008,Sports,Electronic Arts,0.54,0.0,0.0,0.04,0.58,93.1,0.0,0.0,6.9,45.39,22.9,24.42,6.48
3459,3461,Tom Clancy's HAWX,X360,2009,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58,53.45,32.76,3.45,10.34,45.39,22.9,24.42,6.48
3460,3462,Sammy Sosa High Heat Baseball 2001,PS,2000,Sports,3DO,0.32,0.22,0.0,0.04,0.58,55.17,37.93,0.0,6.9,45.39,22.9,24.42,6.48
3461,3463,Frozen: Olaf's Quest,3DS,2013,Platform,Disney Interactive Studios,0.27,0.26,0.0,0.05,0.58,46.55,44.83,0.0,8.62,45.39,22.9,24.42,6.48
3462,3464,Terminator 3: Rise of the Machines,PS2,2003,Action,Atari,0.28,0.22,0.0,0.07,0.58,48.28,37.93,0.0,12.07,45.39,22.9,24.42,6.48
3463,3465,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010,Shooter,Activision,0.37,0.15,0.0,0.05,0.58,63.79,25.86,0.0,8.62,45.39,22.9,24.42,6.48
3464,3466,Harvest Moon: The Tale of Two Towns,DS,2010,Simulation,Natsume,0.27,0.06,0.22,0.03,0.58,46.55,10.34,37.93,5.17,45.39,22.9,24.42,6.48
3465,3467,FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,0.15,0.39,0.0,0.03,0.58,25.86,67.24,0.0,5.17,45.39,22.9,24.42,6.48
3466,3468,World Cup 98,N64,1998,Sports,Electronic Arts,0.14,0.4,0.0,0.04,0.58,24.14,68.97,0.0,6.9,45.39,22.9,24.42,6.48
3467,3469,International Superstar Soccer '98,N64,1998,Sports,Konami Digital Entertainment,0.06,0.3,0.19,0.03,0.58,10.34,51.72,32.76,5.17,45.39,22.9,24.42,6.48
3469,3471,Unreal Tournament,PS2,2000,Shooter,Infogrames,0.28,0.22,0.0,0.07,0.58,48.28,37.93,0.0,12.07,45.39,22.9,24.42,6.48
3470,3472,Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58,39.66,27.59,27.59,6.9,45.39,22.9,24.42,6.48
3471,3473,Tales of Phantasia,PS,1998,Role-Playing,Namco Bandai Games,0.0,0.0,0.54,0.04,0.58,0.0,0.0,93.1,6.9,45.39,22.9,24.42,6.48
3472,3474,Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,0.33,0.22,0.0,0.03,0.58,56.9,37.93,0.0,5.17,45.39,22.9,24.42,6.48
3473,3475,Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004,Role-Playing,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.58,48.28,37.93,0.0,12.07,45.39,22.9,24.42,6.48
3474,3476,Gex: Enter the Gecko,PS,1998,Platform,BMG Interactive Entertainment,0.32,0.22,0.0,0.04,0.58,55.17,37.93,0.0,6.9,45.39,22.9,24.42,6.48
3475,3477,Shrek 2: Beg for Mercy,GBA,2004,Adventure,Activision,0.42,0.15,0.0,0.01,0.58,72.41,25.86,0.0,1.72,45.39,22.9,24.42,6.48
3476,3478,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,0.25,0.0,0.31,0.02,0.58,43.1,0.0,53.45,3.45,45.39,22.9,24.42,6.48
3477,3479,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58,8.62,3.45,86.21,1.72,45.39,22.9,24.42,6.48
3478,3480,Petz Nursery,DS,2009,Simulation,Ubisoft,0.53,0.0,0.0,0.04,0.58,91.38,0.0,0.0,6.9,45.39,22.9,24.42,6.48
3479,3481,Contra: Shattered Soldier,PS2,2002,Shooter,Konami Digital Entertainment,0.28,0.22,0.0,0.07,0.58,48.28,37.93,0.0,12.07,45.39,22.9,24.42,6.48
3480,3482,Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,THQ,0.32,0.22,0.0,0.04,0.58,55.17,37.93,0.0,6.9,45.39,22.9,24.42,6.48
3481,3483,Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,0.0,0.0,0.58,0.0,0.58,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
3482,3484,NBA 2K7,X360,2006,Sports,Take-Two Interactive,0.53,0.0,0.0,0.04,0.58,91.38,0.0,0.0,6.9,45.39,22.9,24.42,6.48
3483,3485,WWE 2K16,PS3,2015,Sports,Take-Two Interactive,0.21,0.27,0.0,0.09,0.58,36.21,46.55,0.0,15.52,45.39,22.9,24.42,6.48
3484,3486,Phoenix Wright: Ace Attorney - Justice for All,DS,2006,Adventure,Capcom,0.24,0.05,0.26,0.03,0.58,41.38,8.62,44.83,5.17,45.39,22.9,24.42,6.48
3485,3487,Fire Emblem: Seisen no Keifu,SNES,1996,Strategy,Nintendo,0.0,0.0,0.58,0.0,0.58,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
3486,3488,Rock Band 3,PS3,2010,Misc,MTV Games,0.43,0.09,0.0,0.06,0.58,74.14,15.52,0.0,10.34,45.39,22.9,24.42,6.48
3487,3489,Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,Nippon Ichi Software,0.27,0.11,0.14,0.06,0.58,46.55,18.97,24.14,10.34,45.39,22.9,24.42,6.48
3488,3490,BlazBlue: Calamity Trigger,PS3,2009,Fighting,PQube,0.36,0.1,0.06,0.06,0.58,62.07,17.24,10.34,10.34,45.39,22.9,24.42,6.48
3489,3491,Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,0.32,0.22,0.0,0.04,0.58,55.17,37.93,0.0,6.9,45.39,22.9,24.42,6.48
3490,3492,Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,0.45,0.12,0.0,0.02,0.58,77.59,20.69,0.0,3.45,45.39,22.9,24.42,6.48
3491,3493,MLB 11: The Show,PS3,2011,Sports,Sony Computer Entertainment,0.54,0.0,0.0,0.04,0.58,93.1,0.0,0.0,6.9,45.39,22.9,24.42,6.48
3492,3494,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58,48.28,37.93,0.0,12.07,45.39,22.9,24.42,6.48
3493,3495,NHL 06,PS2,2005,Sports,Electronic Arts,0.48,0.02,0.0,0.08,0.58,82.76,3.45,0.0,13.79,45.39,22.9,24.42,6.48
3494,3496,NHL 10,PS3,2009,Sports,Electronic Arts,0.38,0.12,0.0,0.07,0.58,65.52,20.69,0.0,12.07,45.39,22.9,24.42,6.48
3495,3497,Rooms: The Main Building,DS,2010,Adventure,Nintendo,0.1,0.41,0.01,0.06,0.58,17.24,70.69,1.72,10.34,45.39,22.9,24.42,6.48
3496,3498,Rapala: We Fish,Wii,2009,Sports,Activision,0.52,0.02,0.0,0.04,0.58,89.66,3.45,0.0,6.9,45.39,22.9,24.42,6.48
3497,3499,Parasite Eve II,PS,1999,Role-Playing,SquareSoft,0.32,0.22,0.0,0.04,0.58,55.17,37.93,0.0,6.9,45.39,22.9,24.42,6.48
3498,3500,Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,0.34,0.17,0.02,0.05,0.58,58.62,29.31,3.45,8.62,45.39,22.9,24.42,6.48
3499,3501,NFL Blitz 2000,N64,1999,Sports,Midway Games,0.55,0.02,0.0,0.0,0.58,94.83,3.45,0.0,0.0,45.39,22.9,24.42,6.48
3500,3502,Ratchet & Clank: Quest for Booty,PS3,2008,Platform,Sony Computer Entertainment,0.0,0.53,0.0,0.04,0.58,0.0,91.38,0.0,6.9,45.39,22.9,24.42,6.48
3502,3504,NCAA Football 10,PS2,2009,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.58,48.28,37.93,0.0,12.07,45.39,22.9,24.42,6.48
3503,3505,Top Spin 3,PS3,2008,Action,Take-Two Interactive,0.08,0.37,0.0,0.12,0.57,14.04,64.91,0.0,21.05,45.39,22.9,24.42,6.48
3504,3506,Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,0.28,0.0,0.27,0.02,0.57,49.12,0.0,47.37,3.51,45.39,22.9,24.42,6.48
3505,3507,Theme Park,PS,1994,Simulation,Electronic Arts,0.24,0.16,0.13,0.04,0.57,42.11,28.07,22.81,7.02,45.39,22.9,24.42,6.48
3506,3508,Blacksite: Area 51,X360,2007,Shooter,Midway Games,0.29,0.23,0.0,0.06,0.57,50.88,40.35,0.0,10.53,45.39,22.9,24.42,6.48
3507,3509,Spider-Man 3,X360,2007,Platform,Activision,0.49,0.04,0.0,0.04,0.57,85.96,7.02,0.0,7.02,45.39,22.9,24.42,6.48
3508,3510,ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,0.53,0.0,0.0,0.04,0.57,92.98,0.0,0.0,7.02,45.39,22.9,24.42,6.48
3509,3511,Far Cry Instincts,XB,2005,Shooter,Ubisoft,0.32,0.24,0.0,0.02,0.57,56.14,42.11,0.0,3.51,45.39,22.9,24.42,6.48
3510,3512,Hasbro Family Game Night,PS2,2008,Puzzle,Electronic Arts,0.28,0.22,0.0,0.07,0.57,49.12,38.6,0.0,12.28,45.39,22.9,24.42,6.48
3511,3513,Tony Hawk's Pro Skater 4,GBA,2002,Sports,Activision,0.41,0.15,0.0,0.01,0.57,71.93,26.32,0.0,1.75,45.39,22.9,24.42,6.48
3512,3514,Up,Wii,2009,Action,THQ,0.23,0.28,0.0,0.06,0.57,40.35,49.12,0.0,10.53,45.39,22.9,24.42,6.48
3513,3515,Tales of the Abyss,PS2,2005,Role-Playing,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
3514,3516,Disney Universe,X360,2011,Action,Disney Interactive Studios,0.37,0.15,0.0,0.05,0.57,64.91,26.32,0.0,8.77,45.39,22.9,24.42,6.48
3515,3517,Iron Man,X360,2008,Action,Sega,0.27,0.24,0.0,0.06,0.57,47.37,42.11,0.0,10.53,45.39,22.9,24.42,6.48
3516,3518,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000,Strategy,Namco Bandai Games,0.0,0.0,0.54,0.04,0.57,0.0,0.0,94.74,7.02,45.39,22.9,24.42,6.48
3517,3519,Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,Vivendi Games,0.41,0.15,0.0,0.01,0.57,71.93,26.32,0.0,1.75,45.39,22.9,24.42,6.48
3518,3520,Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,0.24,0.24,0.01,0.09,0.57,42.11,42.11,1.75,15.79,45.39,22.9,24.42,6.48
3519,3521,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008,Action,THQ,0.53,0.0,0.0,0.04,0.57,92.98,0.0,0.0,7.02,45.39,22.9,24.42,6.48
3520,3522,Beyond The Beyond,PS,1995,Role-Playing,Sony Computer Entertainment,0.11,0.08,0.35,0.04,0.57,19.3,14.04,61.4,7.02,45.39,22.9,24.42,6.48
3521,3523,Ben 10: Alien Force,PS2,2008,Action,Koch Media,0.22,0.02,0.0,0.33,0.57,38.6,3.51,0.0,57.89,45.39,22.9,24.42,6.48
3522,3524,Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,0.21,0.23,0.0,0.13,0.57,36.84,40.35,0.0,22.81,45.39,22.9,24.42,6.48
3523,3525,"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.25,0.27,0.0,0.06,0.57,43.86,47.37,0.0,10.53,45.39,22.9,24.42,6.48
3524,3526,Madden NFL 06,GC,2005,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57,77.19,19.3,0.0,3.51,45.39,22.9,24.42,6.48
3525,3527,No More Heroes,Wii,2007,Action,Rising Star Games,0.3,0.17,0.04,0.05,0.57,52.63,29.82,7.02,8.77,45.39,22.9,24.42,6.48
3526,3528,Assassin's Creed II,PC,2010,Action,Ubisoft,0.01,0.45,0.0,0.11,0.57,1.75,78.95,0.0,19.3,45.39,22.9,24.42,6.48
3527,3529,Petz Wild Animals: Tigerz,DS,2008,Simulation,Ubisoft,0.52,0.01,0.0,0.04,0.57,91.23,1.75,0.0,7.02,45.39,22.9,24.42,6.48
3528,3530,Naruto: Ultimate Ninja 2,PS2,2004,Fighting,Namco Bandai Games,0.47,0.02,0.0,0.08,0.57,82.46,3.51,0.0,14.04,45.39,22.9,24.42,6.48
3529,3531,Defiance,X360,2013,Shooter,Trion Worlds,0.38,0.15,0.0,0.04,0.57,66.67,26.32,0.0,7.02,45.39,22.9,24.42,6.48
3530,3532,Dogz,DS,2006,Simulation,Ubisoft,0.51,0.02,0.0,0.04,0.57,89.47,3.51,0.0,7.02,45.39,22.9,24.42,6.48
3531,3533,3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.57,63.16,21.05,5.26,12.28,45.39,22.9,24.42,6.48
3532,3534,The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0.0,0.0,0.57,0.0,0.57,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
3533,3535,NBA Hangtime,N64,1997,Sports,GT Interactive,0.48,0.08,0.0,0.0,0.57,84.21,14.04,0.0,0.0,45.39,22.9,24.42,6.48
3534,3536,Jillian Michaels Fitness Ultimatum 2010,Wii,2009,Sports,Majesco Entertainment,0.52,0.01,0.0,0.04,0.57,91.23,1.75,0.0,7.02,45.39,22.9,24.42,6.48
3535,3537,Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,0.1,0.12,0.29,0.07,0.57,17.54,21.05,50.88,12.28,45.39,22.9,24.42,6.48
3536,3538,Grease,Wii,2010,Misc,505 Games,0.27,0.25,0.0,0.05,0.57,47.37,43.86,0.0,8.77,45.39,22.9,24.42,6.48
3537,3539,Blood Wake,XB,2001,Shooter,Microsoft Game Studios,0.43,0.12,0.0,0.02,0.57,75.44,21.05,0.0,3.51,45.39,22.9,24.42,6.48
3538,3540,Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,Tecmo Koei,0.11,0.08,0.35,0.03,0.57,19.3,14.04,61.4,5.26,45.39,22.9,24.42,6.48
3539,3541,Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,0.32,0.2,0.0,0.05,0.57,56.14,35.09,0.0,8.77,45.39,22.9,24.42,6.48
3540,3542,Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,0.5,0.03,0.0,0.04,0.57,87.72,5.26,0.0,7.02,45.39,22.9,24.42,6.48
3541,3543,Jampack Summer 2002,PS2,2002,Misc,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.57,49.12,38.6,0.0,12.28,45.39,22.9,24.42,6.48
3542,3544,FIFA World Cup Germany 2006,PS2,2006,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57,82.46,3.51,0.0,14.04,45.39,22.9,24.42,6.48
3543,3545,Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,Activision,0.42,0.11,0.02,0.02,0.57,73.68,19.3,3.51,3.51,45.39,22.9,24.42,6.48
3544,3546,Super Bomberman,SNES,1992,Puzzle,Hudson Soft,0.0,0.0,0.57,0.0,0.57,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
3545,3547,SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,THQ,0.45,0.1,0.0,0.02,0.57,78.95,17.54,0.0,3.51,45.39,22.9,24.42,6.48
3546,3548,Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,0.19,0.25,0.04,0.09,0.57,33.33,43.86,7.02,15.79,45.39,22.9,24.42,6.48
3547,3549,SD Gundam G Generation Neo,PS2,2002,Strategy,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
3548,3550,Bratz 4 Real,DS,2007,Adventure,THQ,0.29,0.22,0.0,0.06,0.57,50.88,38.6,0.0,10.53,45.39,22.9,24.42,6.48
3549,3551,RalliSport Challenge,XB,2002,Racing,Microsoft Game Studios,0.39,0.16,0.0,0.02,0.57,68.42,28.07,0.0,3.51,45.39,22.9,24.42,6.48
3550,3552,Resident Evil Outbreak File #2,PS2,2004,Action,Capcom,0.19,0.15,0.17,0.05,0.57,33.33,26.32,29.82,8.77,45.39,22.9,24.42,6.48
3551,3553,Bob the Builder: Can We Fix It?,PS,2000,Action,THQ,0.31,0.21,0.0,0.04,0.57,54.39,36.84,0.0,7.02,45.39,22.9,24.42,6.48
3552,3554,XIII,PS2,2003,Shooter,Ubisoft,0.28,0.22,0.0,0.07,0.57,49.12,38.6,0.0,12.28,45.39,22.9,24.42,6.48
3553,3555,NHL 14,PS3,2013,Sports,Electronic Arts,0.28,0.19,0.0,0.09,0.57,49.12,33.33,0.0,15.79,45.39,22.9,24.42,6.48
3554,3556,LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,0.4,0.12,0.0,0.05,0.57,70.18,21.05,0.0,8.77,45.39,22.9,24.42,6.48
3555,3557,Bolt,Wii,2008,Adventure,Disney Interactive Studios,0.19,0.31,0.0,0.06,0.57,33.33,54.39,0.0,10.53,45.39,22.9,24.42,6.48
3556,3558,Top Spin 3,X360,2008,Action,Take-Two Interactive,0.09,0.4,0.0,0.07,0.57,15.79,70.18,0.0,12.28,45.39,22.9,24.42,6.48
3557,3559,Tom Clancy's HAWX,PS3,2009,Action,Ubisoft,0.21,0.22,0.05,0.09,0.57,36.84,38.6,8.77,15.79,45.39,22.9,24.42,6.48
3558,3560,LEGO Dimensions,X360,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.28,0.0,0.05,0.56,42.86,50.0,0.0,8.93,45.39,22.9,24.42,6.48
3559,3561,Breath of Fire IV,PS,2000,Role-Playing,Capcom,0.11,0.08,0.34,0.04,0.56,19.64,14.29,60.71,7.14,45.39,22.9,24.42,6.48
3560,3562,True Crime: Streets of LA,GC,2003,Action,Activision,0.44,0.11,0.0,0.02,0.56,78.57,19.64,0.0,3.57,45.39,22.9,24.42,6.48
3561,3563,Odin Sphere,PS2,2007,Role-Playing,Square Enix,0.23,0.18,0.09,0.06,0.56,41.07,32.14,16.07,10.71,45.39,22.9,24.42,6.48
3562,3564,Donkey Kong Jungle Climber,DS,2007,Platform,Nintendo,0.26,0.04,0.24,0.03,0.56,46.43,7.14,42.86,5.36,45.39,22.9,24.42,6.48
3563,3565,The Incredible Hulk,GBA,2003,Action,Universal Interactive,0.4,0.15,0.0,0.01,0.56,71.43,26.79,0.0,1.79,45.39,22.9,24.42,6.48
3564,3566,Ms. Pac-Man Maze Madness,GBA,2004,Puzzle,Zoo Digital Publishing,0.4,0.15,0.0,0.01,0.56,71.43,26.79,0.0,1.79,45.39,22.9,24.42,6.48
3565,3567,Arena Football,PS2,2006,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,50.0,39.29,0.0,12.5,45.39,22.9,24.42,6.48
3566,3568,The Lord of the Rings: The Return of the King,GBA,2003,Action,Electronic Arts,0.4,0.15,0.0,0.01,0.56,71.43,26.79,0.0,1.79,45.39,22.9,24.42,6.48
3567,3569,NHL Hitz 20-02,PS2,2001,Sports,Midway Games,0.28,0.22,0.0,0.07,0.56,50.0,39.29,0.0,12.5,45.39,22.9,24.42,6.48
3568,3570,Classic NES Series: Dr. Mario,GBA,2004,Puzzle,Nintendo,0.31,0.11,0.13,0.01,0.56,55.36,19.64,23.21,1.79,45.39,22.9,24.42,6.48
3569,3571,The Sims: Bustin' Out,XB,2003,Simulation,Electronic Arts,0.4,0.14,0.0,0.02,0.56,71.43,25.0,0.0,3.57,45.39,22.9,24.42,6.48
3570,3572,NCAA March Madness 07,PS2,2007,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,50.0,39.29,0.0,12.5,45.39,22.9,24.42,6.48
3571,3573,"Monsters, Inc. Scream Team",PS,2001,Platform,Sony Computer Entertainment,0.31,0.21,0.0,0.04,0.56,55.36,37.5,0.0,7.14,45.39,22.9,24.42,6.48
3572,3574,Harry Potter Collection,PS2,2006,Misc,Electronic Arts,0.28,0.21,0.0,0.07,0.56,50.0,37.5,0.0,12.5,45.39,22.9,24.42,6.48
3573,3575,Tony Hawk's Project 8,PSP,2006,Sports,Activision,0.41,0.08,0.0,0.07,0.56,73.21,14.29,0.0,12.5,45.39,22.9,24.42,6.48
3574,3576,Yu-Gi-Oh! World Championship Tournament 2004,GBA,2004,Misc,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56,71.43,26.79,0.0,1.79,45.39,22.9,24.42,6.48
3575,3577,Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,Activision,0.28,0.21,0.0,0.07,0.56,50.0,37.5,0.0,12.5,45.39,22.9,24.42,6.48
3576,3578,Hotel Dusk: Room 215,DS,2007,Adventure,Nintendo,0.27,0.05,0.22,0.03,0.56,48.21,8.93,39.29,5.36,45.39,22.9,24.42,6.48
3577,3579,Knockout Kings 2001,PS2,2001,Fighting,Electronic Arts,0.28,0.21,0.0,0.07,0.56,50.0,37.5,0.0,12.5,45.39,22.9,24.42,6.48
3578,3580,Army Men: Sarge's Heroes,PS,1999,Action,3DO,0.31,0.21,0.0,0.04,0.56,55.36,37.5,0.0,7.14,45.39,22.9,24.42,6.48
3579,3581,Phineas and Ferb: Across the 2nd Dimension,DS,2011,Action,Disney Interactive Studios,0.32,0.19,0.0,0.05,0.56,57.14,33.93,0.0,8.93,45.39,22.9,24.42,6.48
3580,3582,Petz Dogz 2,PS2,2007,Simulation,Ubisoft,0.28,0.21,0.0,0.07,0.56,50.0,37.5,0.0,12.5,45.39,22.9,24.42,6.48
3581,3583,Battlefield 2: Modern Combat,XB,2005,Shooter,Electronic Arts,0.39,0.15,0.0,0.02,0.56,69.64,26.79,0.0,3.57,45.39,22.9,24.42,6.48
3582,3584,Wolfenstein,X360,2009,Shooter,Activision,0.28,0.22,0.0,0.06,0.56,50.0,39.29,0.0,10.71,45.39,22.9,24.42,6.48
3583,3585,All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,0.27,0.21,0.0,0.07,0.56,48.21,37.5,0.0,12.5,45.39,22.9,24.42,6.48
3584,3586,Backyard NFL Football,GBA,2002,Sports,Infogrames,0.4,0.15,0.0,0.01,0.56,71.43,26.79,0.0,1.79,45.39,22.9,24.42,6.48
3585,3587,Need for Speed: Most Wanted,GC,2005,Racing,Electronic Arts,0.43,0.11,0.0,0.02,0.56,76.79,19.64,0.0,3.57,45.39,22.9,24.42,6.48
3586,3588,NASCAR Rumble,PS,2000,Racing,Electronic Arts,0.31,0.21,0.0,0.04,0.56,55.36,37.5,0.0,7.14,45.39,22.9,24.42,6.48
3587,3589,Tony Hawk: Shred,Wii,2010,Sports,Activision,0.41,0.11,0.0,0.04,0.56,73.21,19.64,0.0,7.14,45.39,22.9,24.42,6.48
3588,3590,Tony Hawk's Proving Ground,X360,2007,Sports,Activision,0.49,0.02,0.0,0.04,0.56,87.5,3.57,0.0,7.14,45.39,22.9,24.42,6.48
3589,3591,WWE Raw 2,XB,2003,Fighting,THQ,0.43,0.11,0.0,0.02,0.56,76.79,19.64,0.0,3.57,45.39,22.9,24.42,6.48
3590,3592,Resident Evil 2,N64,1999,Action,Virgin Interactive,0.39,0.09,0.07,0.01,0.56,69.64,16.07,12.5,1.79,45.39,22.9,24.42,6.48
3591,3593,Mega Man X2,SNES,1993,Platform,Laguna,0.09,0.02,0.45,0.0,0.56,16.07,3.57,80.36,0.0,45.39,22.9,24.42,6.48
3592,3594,Manhunt 2,PS2,2007,Action,Take-Two Interactive,0.27,0.21,0.0,0.07,0.56,48.21,37.5,0.0,12.5,45.39,22.9,24.42,6.48
3593,3595,Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,0.26,0.14,0.12,0.04,0.56,46.43,25.0,21.43,7.14,45.39,22.9,24.42,6.48
3594,3596,Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56,26.79,21.43,46.43,7.14,45.39,22.9,24.42,6.48
3595,3597,Monster High: Ghoul Spirit,Wii,2011,Misc,THQ,0.44,0.08,0.0,0.04,0.56,78.57,14.29,0.0,7.14,45.39,22.9,24.42,6.48
3596,3598,Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56,23.21,16.07,48.21,10.71,45.39,22.9,24.42,6.48
3597,3599,Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.34,0.15,0.01,0.05,0.56,60.71,26.79,1.79,8.93,45.39,22.9,24.42,6.48
3598,3600,Lips: Number One Hits,X360,2009,Misc,Microsoft Game Studios,0.15,0.35,0.0,0.07,0.56,26.79,62.5,0.0,12.5,45.39,22.9,24.42,6.48
3599,3601,Hamtaro: Ham-Hams Unite!,GB,2001,Role-Playing,Nintendo,0.0,0.0,0.56,0.0,0.56,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
3600,3602,Batman Begins,PS2,2005,Action,Electronic Arts,0.27,0.21,0.0,0.07,0.56,48.21,37.5,0.0,12.5,45.39,22.9,24.42,6.48
3601,3603,Viva Pinata: Pocket Paradise,DS,2008,Simulation,THQ,0.27,0.23,0.0,0.06,0.56,48.21,41.07,0.0,10.71,45.39,22.9,24.42,6.48
3602,3604,Dr. Seuss' The Cat in the Hat,PS2,2003,Misc,Vivendi Games,0.27,0.21,0.0,0.07,0.56,48.21,37.5,0.0,12.5,45.39,22.9,24.42,6.48
3603,3605,Barbie Groovy Games,GBA,2002,Misc,Universal Interactive,0.4,0.15,0.0,0.01,0.56,71.43,26.79,0.0,1.79,45.39,22.9,24.42,6.48
3604,3606,Yu-Gi-Oh! Reshef of Destruction,GBA,2003,Strategy,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56,71.43,26.79,0.0,1.79,45.39,22.9,24.42,6.48
3605,3607,Blinx: The Time Sweeper,XB,2002,Platform,Microsoft Game Studios,0.39,0.15,0.0,0.02,0.56,69.64,26.79,0.0,3.57,45.39,22.9,24.42,6.48
3606,3608,Madagascar: Escape 2 Africa,Wii,2008,Action,Activision,0.32,0.18,0.0,0.05,0.56,57.14,32.14,0.0,8.93,45.39,22.9,24.42,6.48
3607,3609,Archer Maclean's Mercury,PSP,2005,Puzzle,Ignition Entertainment,0.17,0.24,0.0,0.14,0.56,30.36,42.86,0.0,25.0,45.39,22.9,24.42,6.48
3608,3610,ESPN NFL Football,PS2,2003,Sports,Sega,0.27,0.21,0.0,0.07,0.56,48.21,37.5,0.0,12.5,45.39,22.9,24.42,6.48
3609,3611,Fatal Fury Special,SNES,1994,Fighting,Takara,0.0,0.0,0.56,0.0,0.56,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
3610,3612,Catz,DS,2006,Simulation,Ubisoft,0.49,0.02,0.0,0.04,0.56,87.5,3.57,0.0,7.14,45.39,22.9,24.42,6.48
3611,3613,Major League Baseball 2K5,XB,2005,Sports,Take-Two Interactive,0.52,0.02,0.0,0.02,0.56,92.86,3.57,0.0,3.57,45.39,22.9,24.42,6.48
